url,page_title,sub_title,introduction,summary_box,content,accordion
https://www.mobiliar.ch,Versicherungen & Vorsorge,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/wohnen-und-eigentum,Wohnen & Eigentum,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/wohnen-und-eigentum/ratgeber,Ratgeber,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/fahrzeuge-und-reisen,Fahrzeuge & Reisen,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/generalagenturen,,,,,,
https://www.mobiliar.ch/hub/wohnen,,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/ratgeber,Ratgeber,,,,,
https://www.mobiliar.ch/die-mobiliar/ueber-uns,Über uns,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/fahrzeuge-und-transport,Fahrzeuge und Transport,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen,Angebote für Unternehmen,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/vorsorge-und-gesundheit,Vorsorge & Gesundheit,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/fahrzeuge-und-reisen/ratgeber,Ratgeber,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/bewegliche-sachen,Bewegliche Sachen,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/fahrzeuge-und-reisen/wasserfahrzeugversicherung/beratungsanfrage-schiff-und-boot-versicherung,Beratungsanfrage Schiff- und Boot-Versicherung,,,,,
https://my.mobiliar.ch/portal-rwc/?language=de,,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/fahrzeuge-und-reisen/oldtimerversicherung/beratungsanfrage-oldtimerversicherung,Beratungsanfrage Oldtimerversicherung,,,,,
https://www.mobiliar.ch/datenschutz-und-sicherheit-bei-der-mobiliar,Datenschutz und -sicherheit bei der Mobiliar,,,,,
https://cst.apps.mobiliar.ch/,,,,,,
https://secure.mobiliar.ch/praemienrechner/car-moto-init?language=de,,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/bewegliche-sachen/waren-und-einrichtung/beratungsanfrage,Beratungsanfrage,,,,,
https://secure.mobiliar.ch/vvn-anliegen/gruene-karte?language=de,,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/loesungen-fuer-international-taetige-unternehmen/beratungsanfrage-internationale-unternehmen,Beratungsanfrage internationale Unternehmen,,,,,
https://www.mobiliar.ch/versicherungen-und-vorsorge/angebote-fuer-unternehmen/ihre-fachrichtung/landwirtschaft/die-wetterversicherung-fuer-landwirtschaftsbetriebe/beratungsanfrage,Beratungsanfrage,,,,,
