item_name,item_count,percentage,empty_except_url,all_empty_pct,empty_except_title,title_empty_pct
https,4809,100.0,2306,47.95,3305,68.73
kunst,2046,42.55,1851,90.47,1969,96.24
medienmitteilungen,765,15.91,0,0.0,292,38.17
gallerySlide,656,13.64,0,0.0,655,99.85
vcard,154,3.2,154,100.0,154,100.0
generalagenturen,151,3.14,5,3.31,139,92.05
jobs,134,2.79,128,95.52,128,95.52
report,101,2.1,101,100.0,101,100.0
mobiliere,86,1.79,1,1.16,54,62.79
hub,26,0.54,20,76.92,22,84.62
mobiliare,18,0.37,0,0.0,12,66.67
